Athlete;Age;Country;Year;Closing Ceremony Date;Sport;Gold Medals;Silver Medals;Bronze Medals;Total Medals;Points;Type;Continent
Michael Phelps;23;United States;2008;24/08/2008;Swimming;8;0;0;8;24;Olympics;AMERICA
Michael Phelps;19;United States;2004;29/08/2004;Swimming;6;0;2;8;20;Olympics;AMERICA
Michael Phelps;27;United States;2012;12/08/2012;Swimming;4;2;0;6;16;Olympics;AMERICA
Natalie Coughlin;25;United States;2008;24/08/2008;Swimming;1;2;3;6;10;Olympics;AMERICA
Aleksey Nemov;24;Russia;2000;01/10/2000;Gymnastics;2;1;3;6;11;Olympics;ASIA
Alicia Coutts;24;Australia;2012;12/08/2012;Swimming;1;3;1;5;10;Olympics;OCEANIA
Missy Franklin;17;United States;2012;12/08/2012;Swimming;4;0;1;5;13;Olympics;AMERICA
Ryan Lochte;27;United States;2012;12/08/2012;Swimming;2;2;1;5;11;Olympics;AMERICA
Allison Schmitt;22;United States;2012;12/08/2012;Swimming;3;1;1;5;12;Olympics;AMERICA
Natalie Coughlin;21;United States;2004;29/08/2004;Swimming;2;2;1;5;11;Olympics;AMERICA
Ian Thorpe;17;Australia;2000;01/10/2000;Swimming;3;2;0;5;13;Olympics;OCEANIA
Dara Torres;33;United States;2000;01/10/2000;Swimming;2;0;3;5;9;Olympics;AMERICA
Cindy Klassen;26;Canada;2006;26/02/2006;Speed Skating;1;2;2;5;9;Winter Olympics;AMERICA
Nastia Liukin;18;United States;2008;24/08/2008;Gymnastics;1;3;1;5;10;Olympics;AMERICA
Marit Bjørgen;29;Norway;2010;28/02/2010;Cross Country Skiing;3;1;1;5;12;Winter Olympics;EUROPE
Sun Yang;20;China;2012;12/08/2012;Swimming;2;1;1;4;9;Olympics;ASIA
Kirsty Coventry;24;Zimbabwe;2008;24/08/2008;Swimming;1;3;0;4;9;Olympics;AFRICA
Libby Lenton-Trickett;23;Australia;2008;24/08/2008;Swimming;2;1;1;4;9;Olympics;OCEANIA
Ryan Lochte;24;United States;2008;24/08/2008;Swimming;2;0;2;4;8;Olympics;AMERICA
