Athlete;Age;Country;Year;Closing Ceremony Date;Sport;Gold Medals;Silver Medals;Bronze Medals;Total Medals;Points;Type;Continent
Michael Phelps;27;United States;2016;12/08/2016;Swimming;4;2;0;6;16;Olympics;AMERICA
Alicia Coutts;24;Australia;2016;12/08/2016;Swimming;1;3;1;5;10;Olympics;OCEANIA
Missy Franklin;17;United States;2016;12/08/2016;Swimming;4;0;1;5;13;Olympics;AMERICA
Ryan Lochte;27;United States;2016;12/08/2016;Swimming;2;2;1;5;11;Olympics;AMERICA
Allison Schmitt;22;United States;2016;12/08/2016;Swimming;3;1;1;5;12;Olympics;AMERICA
Sun Yang;20;China;2016;12/08/2016;Swimming;2;1;1;4;9;Olympics;ASIA
Aliya Mustafina;17;Russia;2016;12/08/2016;Gymnastics;1;1;2;4;7;Olympics;ASIA
Nathan Adrian;23;United States;2016;12/08/2016;Swimming;2;1;0;3;8;Olympics;AMERICA
Yannick Agnel;20;France;2016;12/08/2016;Swimming;2;1;0;3;8;Olympics;EUROPE
Brittany Elmslie;18;Australia;2016;12/08/2016;Swimming;1;2;0;3;7;Olympics;OCEANIA
Matt Grevers;27;United States;2016;12/08/2016;Swimming;2;1;0;3;8;Olympics;AMERICA
Ryosuke Irie;22;Japan;2016;12/08/2016;Swimming;0;2;1;3;5;Olympics;ASIA
Cullen Jones;28;United States;2016;12/08/2016;Swimming;1;2;0;3;7;Olympics;AMERICA
Ranomi Kromowidjojo;21;Netherlands;2016;12/08/2016;Swimming;2;1;0;3;8;Olympics;EUROPE
Camille Muffat;22;France;2016;12/08/2016;Swimming;1;1;1;3;6;Olympics;EUROPE
Mel Schlanger;25;Australia;2016;12/08/2016;Swimming;1;2;0;3;7;Olympics;OCEANIA
Emily Seebohm;20;Australia;2016;12/08/2016;Swimming;1;2;0;3;7;Olympics;OCEANIA
Rebecca Soni;25;United States;2016;12/08/2016;Swimming;2;1;0;3;8;Olympics;AMERICA
Satomi Suzuki;21;Japan;2016;12/08/2016;Swimming;0;1;2;3;4;Olympics;ASIA
Dana Vollmer;24;United States;2016;12/08/2016;Swimming;3;0;0;3;9;Olympics;AMERICA
Aly Raisman;18;United States;2016;12/08/2016;Gymnastics;2;0;1;3;7;Olympics;AMERICA
Kohei Uchimura;23;Japan;2016;12/08/2016;Gymnastics;1;2;0;3;7;Olympics;ASIA
